method,phi_deg,phi_abs_unc_deg,Zx_Ohm,Zx_abs_unc_Ohm,R_Ohm,R_abs_unc_Ohm,XL_Ohm,XL_abs_unc_Ohm,P_W,P_abs_unc_W
three_voltmeters,89.1,6.72,208.06,11.71,3.27,0.43,208.03,11.72,1.26,0.1
three_ammeters,58.1,10.58,159.7,5.67,84.39,18.36,135.58,18.11,217.82,32.35
