component,percent
class_I,0.96
appreciation_I,0.32
I_total,1.281
class_IZ,1.463
appreciation_IZ,0.488
IZ_total,1.95
IRP_total,1.5
RP_tolerance,0.1
Z_percent,3.55
cosphi_percent,18.21
R_percent,21.76
XL_percent,13.36
P_percent,14.85
