component,percent
class_URP,2.015
appreciation_URP,0.77
URP_total,2.785
class_UZ,2.097
appreciation_UZ,0.645
UZ_total,2.742
U_total,1.007
RP_tolerance,0.1
Z_percent,5.627
cosphi_percent,7.54
R_percent,13.167
XL_percent,5.632
P_percent,8.312
