p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent
4.548928442653093,1.5043449452124176,-4.466242538414765,-1.4376395702304183,0.08268590423832833,0.06670537498199924,0.13943002076312433,0.13990031754696378,0.13990031754696378,0.9919718226389183,-36.556770790882084,0.968147302130119,-37.60419064608049,96.48297761859571
4.466242538414752,1.437639570230358,-4.3355425654840705,-1.3265894834677916,0.1306999729306817,0.11105008676256634,0.1399003175469629,0.1405902699998785,0.1405902699998785,0.968147302130119,-37.60419064608049,0.9309611113790713,-39.33095981021144,96.95880689646795
1.712021252560429,0.38650439900061806,-1.7093022949461072,-0.3926419875092112,0.0027189576143218375,-0.006137588508593139,0.054422885599927494,0.05449196931454896,0.05449196931454896,0.9309611113790713,-39.33095981021144,0.9290984029246678,-39.43497342627557,37.580668492792384
1.2776522949461553,0.2844603000570318,-1.2762580275878879,-0.2916384414998412,0.0013942673582674203,-0.0071781414428093715,0.040669237009414966,0.040731980273965136,0.040731980273965136,0.9290984029246678,-39.43497342627557,0.9278227393246906,-39.50662170458166,28.091020878596645
0.5487580275879462,0.10930975478258562,-0.5480500013405969,-0.13344205240272952,0.000708026247349336,-0.024132297620143905,0.017409039012640275,0.01757820699907272,0.01757820699907272,0.9278227393246906,-39.50662170458166,0.9263207735528036,-39.5917909669449,12.122901378670841
-0.07650000000000036,-0.04741044188783063,0.07651710050789776,0.02027445705762215,1.710050789739681e-05,-0.027135984830208484,0.0028083607280118784,0.002469279816572157,0.0028083607280118784,0.9251219707777634,-39.58956040407993,0.9254042781941141,-39.578992123199974,1.9368005020771577
1.448961977213922,0.5715607646047337,-1.4478250833992368,-0.5751364372505814,0.0011368938146851804,-0.003575672645847683,0.048589084203386014,0.048648825201233904,0.048648825201233904,0.9254042781941141,-39.578992123199974,0.9244215567174168,-39.61916722161166,33.550913931885454
0.8740750833996449,0.21955812309186212,-0.8731553030167603,-0.23072706188242353,0.0009197803828846496,-0.011168938790561411,0.0281432524523628,0.028240603370541722,0.028240603370541722,0.9244215567174168,-39.61916722161166,0.9231735971877073,-39.68543004869328,19.476278186580497
0.329855303016502,0.0694630382154279,-0.32980001132607556,-0.07472571326196575,5.52916904264511e-05,-0.005262675046537851,0.010540757131204982,0.01057642845950256,0.01057642845950256,0.9231735971877073,-39.68543004869328,0.9229797752679386,-39.69652719832305,7.294088592760387
2.121821312923623,0.7312027712894562,-2.1123290777218307,-0.7389136956141131,0.009492235201792543,-0.00771092432465692,0.06959122239265392,0.06980827300480202,0.06980827300480202,0.9309611113790713,-39.33095981021144,0.9254042781941141,-39.578992123199974,48.143636555035876
0.5779711672005376,0.2691738969450429,-0.5754269772359898,-0.2735244719343948,0.0025441899645478605,-0.004350574989351874,0.018402589894373777,0.018478672517782027,0.018478672517782027,1.0001462529762852,-35.487099757766764,0.9953255860732695,-35.538236715812566,9.476242316811295
0.5414269772359492,0.25245316442866333,-0.5400500040442708,-0.25521285688576495,0.001376973191678399,-0.0027596924571016146,0.017326176777862825,0.0173724312411066,0.0173724312411066,0.9953255860732695,-35.538236715812566,0.9925528877507249,-35.56791276978978,8.908939098003385
1.3403477581303003e-09,-0.0039122249242652275,8.115276933787713e-14,-6.711592087992487e-14,1.3404289108996381e-09,-0.003912224924332343,0.000121919111480785,3.2818563180946157e-15,0.000121919111480785,0.9263207735528036,-39.5917909669449,0.9263216807397607,-39.5918302298865,0.08408214584881724
1.132582063334206e-08,-0.007929958049896033,1.2110669624367953e-13,-1.0053290132920044e-13,1.1325941740038304e-08,-0.007929958049996565,0.0002480207875327223,4.922784477141924e-15,0.0002480207875327223,0.9229797752679386,-39.69652719832305,0.9229835431584373,-39.69669086258571,0.17104881898808436
4.04425440814378e-09,-0.002499948153766708,9.871157906913523e-15,6.230259432471993e-14,4.0442642793016866e-09,-0.002499948153704405,7.270875725373412e-05,1.8346134549116837e-15,7.270875725373412e-05,0.9925528877507249,-35.56791276978978,0.9925551923634949,-35.56809814728461,0.03728654218140211
