vm_pu,va_degree,p_mw,q_mvar
1.03,0.0,-45.04573179407716,-16.341411210850154
0.9919718226389183,-36.556770790882084,19.839,4.637136047137856
0.968147302130119,-37.60419064608049,0.0,0.0
0.9309611113790713,-39.33095981021144,0.5016999999999996,0.20888231317781525
0.9290984029246678,-39.43497342627557,0.4316500000000012,0.10818168745217438
0.9278227393246906,-39.50662170458166,0.7274999999999991,0.18232868671714808
0.9263207735528036,-39.5917909669449,0.5480499999999999,0.13735427732691807
0.9251219707777634,-39.58956040407993,0.07649999999999935,0.04741044188783761
0.9254042781941141,-39.578992123199974,0.5868499999999983,0.14707847395183293
0.9244215567174168,-39.61916722161166,0.5737500000000004,0.3555783141587803
0.9231735971877073,-39.68543004869328,0.5433000000000021,0.16126402366661452
0.9229797752679386,-39.69652719832305,0.32979999999999876,0.08265567131177409
1.0001462529762852,-35.487099757766764,20.009999999999998,4.693341029123442
0.9953255860732695,-35.538236715812566,0.03399999999999892,0.021071307505705406
0.9925528877507249,-35.56791276978978,0.5400500000000008,0.2577128050395441
